iter	Logloss
0	0.675544987
1	0.6609608782
2	0.6471875309
3	0.6345093289
4	0.621962631
5	0.6120248866
6	0.6032232163
7	0.595454886
8	0.589080898
9	0.5838795237
10	0.5793301967
11	0.5753566104
12	0.5723430384
13	0.5693159745
14	0.5666440754
15	0.5642316265
16	0.5623513651
17	0.5599118516
18	0.557498248
19	0.5556926881
20	0.5541830156
21	0.552663908
22	0.5510536043
23	0.5500861963
24	0.5490570387
25	0.5478479943
26	0.5467665499
27	0.5457486564
28	0.5445036903
29	0.5435076853
30	0.5426630066
31	0.5419012918
32	0.5408850746
33	0.5400623264
34	0.5392201735
35	0.5385513122
36	0.5380191994
37	0.5367934883
38	0.5361160617
39	0.5350279381
40	0.5343616189
41	0.5336531389
42	0.5329737093
43	0.5320313177
44	0.5315392972
45	0.5309487657
46	0.5303814176
47	0.5299733036
48	0.5289555638
49	0.5278453269
50	0.5273769576
51	0.5265241986
52	0.5262177713
53	0.5253818536
54	0.5241633223
55	0.5235592968
56	0.5233383228
57	0.5222256903
58	0.5217002759
59	0.5211068107
60	0.5205347406
61	0.5199042564
62	0.5195158342
63	0.5186650958
64	0.5184433037
65	0.5183962474
66	0.5178999925
67	0.517119677
68	0.516436961
69	0.5162542261
70	0.5154052921
71	0.5151044769
72	0.5146622615
73	0.5140750407
74	0.5138813941
75	0.5131849216
76	0.5126577063
77	0.5121690036
78	0.5118294148
79	0.5111722923
80	0.5110338056
81	0.5106911502
82	0.5102837572
83	0.5098850092
84	0.5092361549
85	0.5091005835
86	0.5087753116
87	0.5081718682
88	0.5075211162
89	0.5071805079
90	0.5064418422
91	0.5059264014
92	0.5056297758
93	0.5052303205
94	0.5047484675
95	0.5043878357
96	0.5033373606
97	0.503092115
98	0.5027027668
99	0.5025596447
100	0.5022359643
101	0.5022321011
102	0.5021114754
103	0.502046452
104	0.5009428066
105	0.5004430356
106	0.4995515042
107	0.4992666465
108	0.4989175989
109	0.4985938416
110	0.4983281958
111	0.4978892398
112	0.497322177
113	0.497234166
114	0.4971321371
115	0.4966295994
116	0.4962464478
117	0.4960351704
118	0.4952164447
