iter	Passed	Remaining
0	58	58795
1	101	50578
2	142	47412
3	185	46297
4	240	47844
5	278	46155
6	309	43941
7	348	43206
8	394	43484
9	427	42342
10	465	41885
11	504	41536
12	542	41217
13	577	40642
14	612	40222
15	647	39798
16	689	39879
17	731	39914
18	774	40002
19	812	39814
20	856	39917
21	893	39718
22	930	39510
23	967	39332
24	1004	39180
25	1045	39168
26	1083	39047
27	1138	39515
28	1186	39728
29	1231	39827
30	1275	39870
31	1317	39840
32	1359	39851
33	1398	39745
34	1441	39757
35	1485	39777
36	1540	40087
37	1582	40056
38	1623	39996
39	1682	40369
40	1726	40389
41	1774	40470
42	1829	40716
43	1869	40626
44	1911	40567
45	1952	40491
46	1996	40487
47	2043	40519
48	2093	40636
49	2150	40859
50	2189	40745
51	2228	40624
52	2267	40510
53	2336	40932
54	2377	40852
55	2419	40794
56	2457	40658
57	2517	40894
58	2577	41109
59	2622	41082
60	2669	41091
61	2707	40962
62	2764	41116
63	2797	40911
64	2837	40810
65	2861	40490
66	2900	40385
67	2949	40428
68	3030	40883
69	3076	40875
70	3115	40758
71	3183	41027
72	3231	41036
73	3272	40951
74	3308	40808
75	3349	40722
76	3400	40766
77	3440	40666
78	3483	40605
79	3521	40496
80	3572	40533
81	3611	40433
82	3649	40320
83	3693	40274
84	3762	40502
85	3804	40430
86	3850	40410
87	3890	40324
88	3935	40279
89	3978	40227
90	4015	40110
91	4054	40017
92	4093	39922
93	4135	39854
94	4170	39731
95	4212	39665
96	4248	39553
97	4289	39477
98	4326	39373
99	4365	39290
100	4402	39186
101	4422	38938
102	4461	38854
103	4499	38766
104	4533	38644
105	4575	38589
106	4624	38597
107	4704	38854
108	4761	38924
109	4801	38847
110	4841	38778
111	4886	38741
112	4928	38686
113	4968	38614
114	5021	38642
115	5070	38638
116	5114	38602
117	5178	38710
118	5221	38657
119	5266	38622
120	5308	38562
121	5350	38504
122	5397	38483
123	5467	38628
124	5511	38579
125	5550	38504
126	5620	38634
